Year,State,Metric Name,Metric Value,Unit,Rank
2024,Virginia,NG - Consumption per Customer - Industrial Sector,19361.07969924812,Mcf per customer,37.0
2024,Washington,NG - Consumption per Customer - Industrial Sector,1572.7199184228416,Mcf per customer,9.0
2024,West Virginia,NG - Consumption per Customer - Industrial Sector,45351.40740740741,Mcf per customer,46.0
2024,Wisconsin,NG - Consumption per Customer - Industrial Sector,3714.7319935977234,Mcf per customer,16.0
2024,Wyoming,NG - Consumption per Customer - Industrial Sector,20416.029411764706,Mcf per customer,39.0
2024,Alabama,NG - Consumption per Customer - Residential Sector,36.893410038177294,Mcf per customer,6.0
2024,Alaska,NG - Consumption per Customer - Residential Sector,148.36828582171654,Mcf per customer,51.0
2024,Arizona,NG - Consumption per Customer - Residential Sector,29.599574944360132,Mcf per customer,3.0
2024,Arkansas,NG - Consumption per Customer - Residential Sector,48.46904050625344,Mcf per customer,13.0
2024,California,NG - Consumption per Customer - Residential Sector,36.45550679939547,Mcf per customer,5.0
2024,Colorado,NG - Consumption per Customer - Residential Sector,66.474140084005,Mcf per customer,32.0
2024,Connecticut,NG - Consumption per Customer - Residential Sector,77.46034359329445,Mcf per customer,47.0
2024,Delaware,NG - Consumption per Customer - Residential Sector,54.35673382716535,Mcf per customer,17.0
2024,District of Columbia,NG - Consumption per Customer - Residential Sector,54.37398278960364,Mcf per customer,18.0
2024,Florida,NG - Consumption per Customer - Residential Sector,20.36771509564615,Mcf per customer,1.0
2024,Georgia,NG - Consumption per Customer - Residential Sector,47.5941710943949,Mcf per customer,11.0
2024,Hawaii,NG - Consumption per Customer - Residential Sector,21.52274315259922,Mcf per customer,2.0
2024,Idaho,NG - Consumption per Customer - Residential Sector,69.7467940225186,Mcf per customer,37.0
2024,Illinois,NG - Consumption per Customer - Residential Sector,81.28920786117156,Mcf per customer,50.0
2024,Indiana,NG - Consumption per Customer - Residential Sector,71.54109016017094,Mcf per customer,42.0
2024,Iowa,NG - Consumption per Customer - Residential Sector,57.51694743104972,Mcf per customer,22.0
2024,Kansas,NG - Consumption per Customer - Residential Sector,60.196672095925365,Mcf per customer,28.0
2024,Kentucky,NG - Consumption per Customer - Residential Sector,52.30384994536104,Mcf per customer,14.0
2024,Louisiana,NG - Consumption per Customer - Residential Sector,34.17911541740817,Mcf per customer,4.0
2024,Maine,NG - Consumption per Customer - Residential Sector,68.84965921514807,Mcf per customer,35.0
2024,Maryland,NG - Consumption per Customer - Residential Sector,56.22206348272587,Mcf per customer,21.0
2024,Massachusetts,NG - Consumption per Customer - Residential Sector,69.82046392631115,Mcf per customer,38.0
2024,Michigan,NG - Consumption per Customer - Residential Sector,79.17649791198781,Mcf per customer,49.0
2024,Minnesota,NG - Consumption per Customer - Residential Sector,71.50312004650165,Mcf per customer,41.0
2024,Mississippi,NG - Consumption per Customer - Residential Sector,45.440592114395145,Mcf per customer,9.0
2024,Missouri,NG - Consumption per Customer - Residential Sector,58.386977431470065,Mcf per customer,25.0
2024,Montana,NG - Consumption per Customer - Residential Sector,71.21714320588325,Mcf per customer,40.0
2024,Nebraska,NG - Consumption per Customer - Residential Sector,59.55564909369675,Mcf per customer,27.0
2024,Nevada,NG - Consumption per Customer - Residential Sector,45.58322247623382,Mcf per customer,10.0
2024,New Hampshire,NG - Consumption per Customer - Residential Sector,59.215790285538,Mcf per customer,26.0
2024,New Jersey,NG - Consumption per Customer - Residential Sector,77.64856222772744,Mcf per customer,48.0
2024,New Mexico,NG - Consumption per Customer - Residential Sector,57.811600614875864,Mcf per customer,24.0
2024,New York,NG - Consumption per Customer - Residential Sector,73.73253217747771,Mcf per customer,46.0
2024,North Carolina,NG - Consumption per Customer - Residential Sector,47.61786765423688,Mcf per customer,12.0
2024,North Dakota,NG - Consumption per Customer - Residential Sector,73.28654380843699,Mcf per customer,45.0
2024,Ohio,NG - Consumption per Customer - Residential Sector,66.80004554035844,Mcf per customer,33.0
2024,Oklahoma,NG - Consumption per Customer - Residential Sector,54.03919886418181,Mcf per customer,16.0
2024,Oregon,NG - Consumption per Customer - Residential Sector,55.449497356522514,Mcf per customer,20.0
2024,Pennsylvania,NG - Consumption per Customer - Residential Sector,73.14011726283968,Mcf per customer,44.0
2024,Rhode Island,NG - Consumption per Customer - Residential Sector,69.653410256815,Mcf per customer,36.0
2024,South Carolina,NG - Consumption per Customer - Residential Sector,39.86377006210082,Mcf per customer,8.0
2024,South Dakota,NG - Consumption per Customer - Residential Sector,57.74777890714702,Mcf per customer,23.0
2024,Tennessee,NG - Consumption per Customer - Residential Sector,53.00206351538692,Mcf per customer,15.0
2024,Texas,NG - Consumption per Customer - Residential Sector,37.021324849182655,Mcf per customer,7.0
2024,Utah,NG - Consumption per Customer - Residential Sector,67.19036225412641,Mcf per customer,34.0
2024,Vermont,NG - Consumption per Customer - Residential Sector,71.69206612909761,Mcf per customer,43.0
2024,Virginia,NG - Consumption per Customer - Residential Sector,55.11960953940814,Mcf per customer,19.0
